	tt	loss	loss_rec	entropy_marginal	entropy_mean	loss_affine
259	2599	-0.242	0.013	2.606	0.175	0.023
260	2609	-0.242	0.013	2.608	0.175	0.022
261	2619	-0.242	0.013	2.608	0.17	0.023
262	2629	-0.242	0.013	2.607	0.171	0.022
263	2639	-0.242	0.013	2.607	0.171	0.023
264	2649	-0.242	0.013	2.606	0.171	0.023
265	2659	-0.242	0.013	2.609	0.172	0.023
266	2669	-0.242	0.013	2.607	0.17	0.024
267	2679	-0.242	0.013	2.608	0.169	0.023
268	2689	-0.242	0.013	2.608	0.17	0.023
269	2699	-0.242	0.013	2.607	0.169	0.023
270	2709	-0.242	0.013	2.606	0.166	0.023
271	2719	-0.242	0.013	2.604	0.168	0.023
272	2729	-0.242	0.013	2.607	0.164	0.023
273	2739	-0.242	0.013	2.608	0.164	0.023
274	2749	-0.242	0.013	2.608	0.165	0.023
275	2759	-0.242	0.013	2.608	0.162	0.024
276	2769	-0.242	0.013	2.606	0.165	0.023
277	2779	-0.243	0.013	2.607	0.162	0.024
278	2789	-0.242	0.013	2.606	0.16	0.023
279	2799	-0.242	0.013	2.605	0.158	0.023
280	2809	-0.243	0.013	2.607	0.159	0.023
281	2819	-0.243	0.013	2.607	0.159	0.023
282	2829	-0.242	0.013	2.607	0.161	0.023
283	2839	-0.243	0.013	2.608	0.159	0.023
284	2849	-0.242	0.013	2.604	0.159	0.024
285	2859	-0.243	0.013	2.608	0.158	0.023
286	2869	-0.243	0.013	2.607	0.156	0.024
287	2879	-0.243	0.013	2.606	0.156	0.023
288	2889	-0.243	0.013	2.607	0.153	0.023
289	2899	-0.243	0.013	2.609	0.152	0.023
290	2909	-0.243	0.013	2.607	0.156	0.024
291	2919	-0.243	0.013	2.607	0.155	0.024
292	2929	-0.243	0.013	2.608	0.154	0.023
293	2939	-0.243	0.013	2.607	0.15	0.025
294	2949	-0.243	0.013	2.607	0.152	0.025
295	2959	-0.243	0.013	2.606	0.153	0.024
296	2969	-0.243	0.013	2.606	0.152	0.023
297	2979	-0.243	0.013	2.608	0.15	0.024
298	2989	-0.243	0.013	2.609	0.148	0.023
299	2999	-0.243	0.013	2.607	0.152	0.024
300	3009	-0.243	0.013	2.607	0.148	0.023
301	3019	-0.243	0.013	2.607	0.15	0.023
302	3029	-0.243	0.013	2.607	0.147	0.024
303	3039	-0.243	0.013	2.607	0.146	0.024
